label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
car,768,218,71,42,Accra1.jpg,1529,975
car,807,272,90,38,Accra1.jpg,1529,975
car,563,744,66,48,Accra10.jpg,1595,975
car,602,716,76,35,Accra10.jpg,1595,975
car,1055,207,40,28,Accra10.jpg,1595,975
car,1090,174,31,24,Accra10.jpg,1595,975
car,1165,99,34,21,Accra10.jpg,1595,975
car,363,280,87,55,Accra100.jpg,1595,975
car,539,318,104,47,Accra100.jpg,1595,975
car,384,392,106,38,Accra100.jpg,1595,975
car,378,441,129,47,Accra100.jpg,1595,975
tree,838,271,312,297,Accra101.jpg,1595,975
tree,8,63,157,278,Accra101.jpg,1595,975
tree,225,82,259,106,Accra101.jpg,1595,975
tree,534,21,201,76,Accra101.jpg,1595,975
car,197,490,68,38,Accra102.jpg,1595,975
car,263,468,85,30,Accra102.jpg,1595,975
car,679,466,104,32,Accra102.jpg,1595,975
car,995,464,98,34,Accra102.jpg,1595,975
car,1186,456,83,45,Accra102.jpg,1595,975
car,1340,428,81,32,Accra102.jpg,1595,975
car,206,483,100,40,Accra103.jpg,1595,975
car,280,464,89,30,Accra103.jpg,1595,975
car,706,449,95,40,Accra103.jpg,1595,975
car,1037,458,85,38,Accra103.jpg,1595,975
car,1213,460,70,34,Accra103.jpg,1595,975
car,1374,422,59,32,Accra103.jpg,1595,975
tree,1413,142,108,74,Accra103.jpg,1595,975
tree,1264,241,125,108,Accra103.jpg,1595,975
tree,1474,757,115,66,Accra103.jpg,1595,975
tree,1147,34,74,85,Accra103.jpg,1595,975
tree,1109,316,34,70,Accra103.jpg,1595,975
tree,751,808,70,104,Accra103.jpg,1595,975
tree,240,702,76,102,Accra103.jpg,1595,975
tree,13,530,70,78,Accra104.jpg,1595,975
tree,450,782,76,74,Accra104.jpg,1595,975
tree,564,734,70,123,Accra104.jpg,1595,975
tree,615,600,53,123,Accra104.jpg,1595,975
tree,1192,710,176,78,Accra104.jpg,1595,975
tree,1438,719,138,42,Accra104.jpg,1595,975
tree,1357,797,34,78,Accra104.jpg,1595,975
tree,1200,44,87,87,Accra104.jpg,1595,975
tree,1417,59,70,76,Accra104.jpg,1595,975
tree,800,142,57,74,Accra104.jpg,1595,975
car,1117,552,28,44,Accra104.jpg,1595,975
car,1082,549,27,44,Accra104.jpg,1595,975
car,1334,425,60,30,Accra104.jpg,1595,975
car,1446,529,46,30,Accra104.jpg,1595,975
car,842,944,117,28,Accra105.jpg,1595,975
car,1160,867,59,68,Accra105.jpg,1595,975
car,740,808,89,95,Accra105.jpg,1595,975
car,791,876,62,55,Accra105.jpg,1595,975
car,861,816,55,83,Accra105.jpg,1595,975
car,757,623,110,95,Accra105.jpg,1595,975
car,1044,723,72,93,Accra106.jpg,1595,975
car,1154,765,49,95,Accra106.jpg,1595,975
car,528,256,68,74,Accra106.jpg,1595,975
tree,702,227,140,108,Accra106.jpg,1595,975
tree,274,44,180,146,Accra106.jpg,1595,975
tree,19,447,93,87,Accra106.jpg,1595,975
tree,161,570,132,72,Accra106.jpg,1595,975
tree,812,112,98,62,Accra106.jpg,1595,975
car,655,413,83,87,Accra107.jpg,1595,975
car,346,394,81,34,Accra108.jpg,1595,975
car,448,396,59,25,Accra108.jpg,1595,975
car,484,428,87,13,Accra108.jpg,1595,975
car,615,861,93,62,Accra108.jpg,1595,975
car,615,772,89,40,Accra108.jpg,1595,975
car,632,494,30,64,Accra108.jpg,1595,975
car,664,437,87,23,Accra108.jpg,1595,975
car,683,360,66,32,Accra108.jpg,1595,975
car,1355,589,62,72,Accra108.jpg,1595,975
car,1270,651,72,28,Accra108.jpg,1595,975
car,1425,787,76,83,Accra108.jpg,1595,975
tree,414,205,129,91,Accra108.jpg,1595,975
tree,1158,473,132,165,Accra108.jpg,1595,975
tree,844,674,142,102,Accra108.jpg,1595,975
tree,335,454,100,140,Accra109.jpg,1595,975
tree,925,774,159,102,Accra109.jpg,1595,975
tree,1181,874,112,81,Accra109.jpg,1595,975
tree,740,509,83,57,Accra109.jpg,1595,975
tree,744,611,106,59,Accra109.jpg,1595,975
tree,1262,772,78,64,Accra109.jpg,1595,975
tree,1207,284,102,64,Accra109.jpg,1595,975
car,437,748,62,104,Accra109.jpg,1595,975
car,465,557,57,81,Accra109.jpg,1595,975
car,346,615,98,38,Accra109.jpg,1595,975
car,955,112,70,23,Accra109.jpg,1595,975
tree,600,604,142,119,Accra110.jpg,1595,975
tree,513,309,85,40,Accra110.jpg,1595,975
tree,948,307,121,62,Accra110.jpg,1595,975
tree,477,174,157,59,Accra110.jpg,1595,975
tree,698,74,148,83,Accra110.jpg,1595,975
tree,1470,258,117,117,Accra110.jpg,1595,975
tree,863,744,87,91,Accra110.jpg,1595,975
tree,121,193,95,78,Accra110.jpg,1595,975
tree,4,239,98,112,Accra110.jpg,1595,975
tree,1241,36,151,100,Accra110.jpg,1595,975
car,0,396,36,30,Accra111.jpg,1595,975
